Id,Year,Cumulative
564,1/1997,
565,2/1997,
566,3/1997,
567,4/1997,
568,5/1997,
569,6/1997,
570,7/1997,
571,8/1997,
572,9/1997,
573,10/1997,
574,11/1997,
575,12/1997,
576,1/1998,
577,2/1998,
578,3/1998,
579,4/1998,
580,5/1998,
581,6/1998,
582,7/1998,
583,8/1998,
584,9/1998,
585,10/1998,
586,11/1998,
587,12/1998,
588,1/1999,
589,2/1999,
590,3/1999,
591,4/1999,
592,5/1999,
593,6/1999,
594,7/1999,
595,8/1999,
596,9/1999,
597,10/1999,
598,11/1999,
599,12/1999,
600,1/2000,
601,2/2000,
602,3/2000,
603,4/2000,
604,5/2000,
605,6/2000,
606,7/2000,
607,8/2000,
608,9/2000,
609,10/2000,
610,11/2000,
611,12/2000,
612,1/2001,
613,2/2001,
614,3/2001,
615,4/2001,
616,5/2001,
617,6/2001,
618,7/2001,
619,8/2001,
620,9/2001,
621,10/2001,
622,11/2001,
623,12/2001,
624,1/2002,
625,2/2002,
626,3/2002,
627,4/2002,
628,5/2002,
629,6/2002,
630,7/2002,
631,8/2002,
632,9/2002,
633,10/2002,
634,11/2002,
635,12/2002,
636,1/2003,
637,2/2003,
638,3/2003,
639,4/2003,
640,5/2003,
641,6/2003,
642,7/2003,
643,8/2003,
644,9/2003,
645,10/2003,
646,11/2003,
647,12/2003,
648,1/2004,
649,2/2004,
650,3/2004,
651,4/2004,
652,5/2004,
653,6/2004,
654,7/2004,
655,8/2004,
656,9/2004,
657,10/2004,
658,11/2004,
659,12/2004,
660,1/2005,
661,2/2005,
662,3/2005,
663,4/2005,
664,5/2005,
665,6/2005,
666,7/2005,
667,8/2005,
668,9/2005,
669,10/2005,
670,11/2005,
671,12/2005,
672,1/2006,
673,2/2006,
674,3/2006,
675,4/2006,
676,5/2006,
677,6/2006,
678,7/2006,
679,8/2006,
680,9/2006,
681,10/2006,
682,11/2006,
683,12/2006,
684,1/2007,
685,2/2007,
686,3/2007,
687,4/2007,
688,5/2007,
689,6/2007,
690,7/2007,
691,8/2007,
692,9/2007,
693,10/2007,
694,11/2007,
695,12/2007,
696,1/2008,
697,2/2008,
698,3/2008,
699,4/2008,
700,5/2008,
701,6/2008,
702,7/2008,
703,8/2008,
704,9/2008,
705,10/2008,
706,11/2008,
707,12/2008,
708,1/2009,
709,2/2009,
710,3/2009,
711,4/2009,
712,5/2009,
713,6/2009,
714,7/2009,
715,8/2009,
716,9/2009,
717,10/2009,
718,11/2009,
719,12/2009,
720,1/2010,
721,2/2010,
722,3/2010,
723,4/2010,
724,5/2010,
725,6/2010,
726,7/2010,
727,8/2010,
728,9/2010,
729,10/2010,
730,11/2010,
731,12/2010,
732,1/2011,
733,2/2011,
734,3/2011,
735,4/2011,
736,5/2011,
737,6/2011,
738,7/2011,
739,8/2011,
740,9/2011,
741,10/2011,
742,11/2011,
743,12/2011,
744,1/2012,
745,2/2012,
746,3/2012,
747,4/2012,
748,5/2012,
749,6/2012,
750,7/2012,
751,8/2012,
752,9/2012,
753,10/2012,
754,11/2012,
755,12/2012,
756,1/2013,
757,2/2013,
758,3/2013,
759,4/2013,
760,5/2013,
761,6/2013,
762,7/2013,
763,8/2013,
764,9/2013,
765,10/2013,
766,11/2013,
767,12/2013,
768,1/2014,
769,2/2014,
770,3/2014,
771,4/2014,
772,5/2014,
773,6/2014,
774,7/2014,
775,8/2014,
776,9/2014,
777,10/2014,
778,11/2014,
779,12/2014,
780,1/2015,
781,2/2015,
782,3/2015,
783,4/2015,
784,5/2015,
785,6/2015,
786,7/2015,
787,8/2015,
788,9/2015,
789,10/2015,
790,11/2015,
791,12/2015,
792,1/2016,
793,2/2016,
794,3/2016,
795,4/2016,
796,5/2016,
797,6/2016,
798,7/2016,
799,8/2016,
800,9/2016,
801,10/2016,
802,11/2016,
803,12/2016,
804,1/2017,
805,2/2017,
806,3/2017,
807,4/2017,
808,5/2017,
809,6/2017,
810,7/2017,
811,8/2017,
812,9/2017,
813,10/2017,
814,11/2017,
815,12/2017,
816,1/2018,
817,2/2018,
818,3/2018,
819,4/2018,
820,5/2018,
821,6/2018,
822,7/2018,
823,8/2018,
824,9/2018,
825,10/2018,
826,11/2018,
827,12/2018,
828,1/2019,
829,2/2019,
830,3/2019,
831,4/2019,
832,5/2019,
833,6/2019,
834,7/2019,
835,8/2019,
836,9/2019,
837,10/2019,
838,11/2019,
839,12/2019,
