Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 World,Bosnia and Herzegovina,Import,Plastic or Rubber,Import (US$ Thousand),,,,,4528.785,1207.933,312.006,345.329,4485.492,14525.755,7353.673,12057.96,9879.214,9641.074,14626.923,16000.469,28025.296,38936.049,64771.175,90922.229,97773.614,74833.308,80353.440229123,103785.25834794,127227.173344856,157359.665083297,175552.582606912,176551.404650698,190465.806067551,219408.498955666
 World,Botswana,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,,,,,,,,1025.76,827.621,748.912,1202.256,674.483,820.841,2245.981,9874.346,9999.466,34073.26,53256.801649155,26793.337624411,34701.6510037548,25087.4098856099,29472.6119276878,25842.613779863,23776.7820130498,23812.7371682115
 World,Bouvet Island,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,,,,,,,,86.862,4.66,176.452,358.162,,,24.604,35.514,2251.317,165.451,563.40266247936,49843.772,324.305,11.91,14.007,1.085,18.378,90.828014077962
 World,Br. Antr. Terr,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,4.187,,,,,,,,,,,,,,,,,,,,,,,,
 World,Brazil,Import,Plastic or Rubber,Import (US$ Thousand),81547.155,194295.014,248887.947,506115.886,617701.279,962158.75,1308461.799,1414050.496,1414650.751,1487132.309,1500794.931,1436827.046,1769164.438,1618648.076,1624420.172,2271417.001,2687270.715,3586968.864,4193125.243,5260879.051,5129057.37,4528779.868,5389323.08117526,6747623.68528778,6299312.73324181,5673925.61118958,5250198.10183827,4877908.60820001,5047081.56040511,5509771.62646136
 World,British Indian Ocean Ter.,Import,Plastic or Rubber,Import (US$ Thousand),,,7.973,,9.704,12.713,113.415,482.881,142.525,180.865,22.451,53.704,444.02,68.87,122.811,245.782,175.195,57.266,210.718,256.031,10.385,282.186,126.281,472.30344708414,133.5788286888,136.78996874928,231.759,27.202,61.54724621964,67.9844289763911
 World,British Virgin Islands,Import,Plastic or Rubber,Import (US$ Thousand),,,17.902,1801.011,166.489,100.759,559.082,395.492,750.643,2846.224,2097.421,2018.023,1265.477,971.256,1784.539,895.017,1182.634,2967.965,9687.404,6391.929,5154.369,4380.321,5031.18829569432,7812.66193690724,9967.8652824424,108430.557132366,14125.7174357684,8960.55432097584,9432.72964409893,9209.2009219922
 World,Brunei,Import,Plastic or Rubber,Import (US$ Thousand),18.152,54.036,143.582,25.546,125.588,267.48,282.659,1627.264,487.483,455.881,222.411,557.062,370.406,459.048,505.469,660.345,852.008,1895.839,2633.11,2226.35,1733.405,2158.18,2656.47167861204,1894.092,1101.479,811.404,1188.6,1846.833469748,2364.51048294023,2532.106270918
 World,Bulgaria,Import,Plastic or Rubber,Import (US$ Thousand),9081.275,9538.695,11625.944,16172.742,60972.226,46528.138,93094.912,131090.337,161125.19,155485.04,130919.243,125163.052,139400.84,139674.365,152292.192,193657.641,258382.908,323610.43,419450.851,482340.334,525874.217,398067.31,480306.551833771,664936.224055656,674611.684982331,845760.560240972,926318.866356785,866306.013107467,879579.293308341,1046669.04472152
 World,Bunkers,Import,Plastic or Rubber,Import (US$ Thousand),,,53.448,0.88,,0.859,78.469,2218.899,263.474,28.02,67.984,801.649,1389.666,182.08,194.589,157.756,354.375,971.619,714.423,1099.456,1512.184,307.909,410.146,43309.223,11736.69,1877.698,1333.581,102.081,695.35393773786,1932.67167146881
 World,Burkina Faso,Import,Plastic or Rubber,Import (US$ Thousand),,,1,5.932,31.436,87.275,150.471,193.16,238.083,354.542,796.982,622.295,2863.408,5940.748,4769.781,2497.142,3739.42,628.712,1852.688,2365.506,985.34,723.855,2999.92477201474,1003.91167068,2401.45794689272,943.15522447487,813.793,1026.16258,512.62886541954,1097.71409359016
 World,Burundi,Import,Plastic or Rubber,Import (US$ Thousand),,,1.01,,382.152,105.713,26.387,56.954,119.088,121.229,136.903,66.257,68.155,237.774,609.234,59.922,60.586,26.146,93.548,22.948,373.431,53.673,26.704,232.38400167982,645.485,561.0091757805,388.7060971173,124.5921684664,48.786,12.3969444758178
 World,Cambodia,Import,Plastic or Rubber,Import (US$ Thousand),20.087,3093.826,13355.207,6460.577,20729.868,22730.208,40765.903,44753.528,38478.356,66284.2,49197.438,39619.384,50427.812,31241.557,54264.275,61047.208,79353.412,79574.119,105914.022,117403.514,103188.881,101848.888,219296.142193108,350910.876980125,329408.176156168,277664.878684937,217519.508859312,230720.959961375,284754.751958957,231596.968217895
 World,Cameroon,Import,Plastic or Rubber,Import (US$ Thousand),2756.89,6352.178,7445.723,15809.039,17621.879,25654.529,57249.515,82346.616,78778.386,68958.645,45537.738,37117.519,45653.954,40910.401,44113.923,69550.669,78868.099,83553.799,131294.626,128708.441,148391.133,100299.681,162427.897772762,240010.763806755,173121.318471815,151360.628066864,112452.058097516,100635.89298215,62561.2973323752,75960.1383352279
 World,Canada,Import,Plastic or Rubber,Import (US$ Thousand),136431.783,294784.875,418652.532,3057337.221,3646033.55,4212374.139,5156496.689,6304090.791,6818293.515,7885888.483,8078030.424,8954877.92,10191063.794,10226779.165,10609584.281,11546341.088,13393771.852,15334299.336,16444494.773,16456309.743,16609842.577,12352223.048,14996934.6641957,17183488.7246605,16914637.268471,17309409.8520036,17823110.6976022,16712805.0000399,16018491.8356832,16267130.4337039
 World,Cape Verde,Import,Plastic or Rubber,Import (US$ Thousand),,,112.373,,31.728,72.718,106.609,100.166,30.365,1102.785,16.379,14.083,150.325,62.888,61.701,157.764,113.629,231.473,314.122,747.249,1339.829,2628.467,3327.92104953886,3786.63825389906,3638.87689597056,3395.033,308.17060776,1267.458,258.03865718578,512.090792565683
 World,Cayman Islands,Import,Plastic or Rubber,Import (US$ Thousand),,,1702.723,1895.446,2459.28,1883.217,149.889,5677.604,331.621,656.486,378.914,343.123,332.657,321.633,623.095,2427.012,679.293,184.645,400.334,477.36,410.986,1143.054,519.4802505008,448.1765099592,935.49800568632,623.358,296.943,1192.35683733356,9042.34850220413,591.017945230135
 World,Central African Republic,Import,Plastic or Rubber,Import (US$ Thousand),31,2,,,174.596,80.643,104.437,1468.884,553.283,172.912,297.744,320.312,741.92,199.336,780.788,204.16,973.054,2944.286,281.163,437.982,1407.903,252.946,400.21776381658,33.793,260.255762668,841.4217714787,607.47815285122,568.26638,434.5237552865,596.812830348975
 World,Chad,Import,Plastic or Rubber,Import (US$ Thousand),,,,11.292,36.405,5.689,14.591,26.213,1.476,1.238,82.764,5.169,113.972,210.218,210.587,622.989,183.486,853.088,860.828,356.556,221.401,2927.451,1060.34729430516,85.78688933288,4030.763,4790.568,1027.10086563024,369.71511,811.13952958508,3780.69054538837
 World,Chile,Import,Plastic or Rubber,Import (US$ Thousand),873.935,3069.734,4656.623,14688.497,35761.869,55577.724,86308.495,106964.132,124374.018,122977.192,141840.838,155290.319,210507.688,234500.731,239976.812,280576.655,368042.477,441855.563,519782.997,521424.733,625726.866,478939.235,613898.303813801,876098.939270967,930410.820436292,893105.087745223,948837.753427785,816507.265935094,706376.655100969,740082.31171463
 World,China,Import,Plastic or Rubber,Import (US$ Thousand),103083.274,252666.13,382026.887,1129493.79,1661320.599,3809462.508,5135938.074,6787600.144,7296890.121,8446019.671,8908030.547,10301797.565,12913947.862,13571611.727,15886484.383,18898546.834,24004444.122,31017570.678,38302689.383,47755473.976,54884186.618,46715510.614,61820675.9773061,75258978.5372062,79272267.0937694,85169314.5471131,91848890.7603317,86514581.4613626,83621474.8043927,85121239.7402743
 World,Christmas Island,Import,Plastic or Rubber,Import (US$ Thousand),,,,,15.109,19.561,3,26.586,2.949,65.918,28.18,24.259,92.499,20.949,82.007,113.402,50.935,93.258,90.455,65.651,198.328,31.369,60.80021,17.21278738794,184.78,58.25102412363,66.17656188,207.49476540083,19.25133660562,351.953990270703
 World,Cocos (Keeling) Islands,Import,Plastic or Rubber,Import (US$ Thousand),,,12,21.235,40.693,44.966,3.451,9.552,2.816,42.243,52.204,87.306,174.725,139.817,32.188,0.909,154.037,140.09,195.434,321.409,215.24,116.986,143.179,349.1108,170.39756853256,79.03536,62.78273124436,113.30185,24.2531257,66.7871464861013
 World,Colombia,Import,Plastic or Rubber,Import (US$ Thousand),640.323,5198.513,39071.549,117581.101,144796.695,127672.19,287489.979,419376.38,401449.33,410539.646,358595.114,365698.804,443099.29,469440.984,504994.856,612435.358,828090.524,1025397.442,1155909.042,1332115.165,1620676.726,1269978.047,1490285.23465426,1810842.13988548,1847383.33904694,1736158.36386163,1525526.64728911,1368942.29952014,1282800.19469685,1318558.46675493
 World,Comoros,Import,Plastic or Rubber,Import (US$ Thousand),,,0.853,13.826,0.597,6.569,32.667,,5.755,114.125,180.633,355.326,115.719,110.874,22.565,23.769,3.375,12.134,55.939,21.216,170.016,136.72,0.935,42.23830685,50.62054,4.44141,25.4703072,45.81287268,11.21019900256,16.33051344286
 World,Democratic Republic of the Congo,Import,Plastic or Rubber,Import (US$ Thousand),2408.417,6920.918,5722.953,3191.56,3050.129,3325.098,6801.104,9420.434,10996.96,8135.146,3256.227,1248.868,407.299,1081.182,666.928,1914.33,2507.944,3964.085,5390.577,6123.414,4878.556,2637.066,6871.40455526856,19347.1866348734,10518.0155213387,13638.6448126778,20113.3372042876,3948.12797266688,2102.35765527258,1138.61315375367
 World,Republic of the Congo,Import,Plastic or Rubber,Import (US$ Thousand),4,9.571,5.773,8.81,17.03,191.204,148.416,79.128,402.16,987.625,1188.318,608.174,655.547,315.368,257.321,1743.112,1755.102,2672.165,6011.365,8457.461,9977.792,12293.326,21720.627220581,39092.3330044011,28799.197595025,15667.1717264621,6743.056,3767.40616840851,978.76299451389,2119.90896740725
 World,Cook Islands,Import,Plastic or Rubber,Import (US$ Thousand),,,3.323,,147.513,44.61,47.937,30.967,222.881,346.656,149.347,,215.792,50.089,10.794,38.499,38.255,283.149,56.362,18.909,26.908,141.156,314.70032204064,57.36865768,122.7718924,31.562,64.579,171.179,66.0857980191,137.58036041745
 World,Costa Rica,Import,Plastic or Rubber,Import (US$ Thousand),314.273,723.75,1467.757,26756.744,27641.954,53235.874,82248.992,101254.689,109337.138,127774.742,145086.594,175963.473,163712.732,207997.421,239644.752,251941.244,307064.039,373461.202,367486.935,447337.896,455341.251,421988.146,503781.116720817,642169.162603445,596235.476027768,584099.847815118,646111.869957335,632609.487547824,598371.719830886,565205.735633402
 World,Ivory Coast,Import,Plastic or Rubber,Import (US$ Thousand),16067.909,24443.672,21778.357,30451.403,37172.121,43900.279,76762.669,124424.748,141733.393,124403.427,102201.377,97584.457,127957.04,111384.789,113122.036,172019.947,193971.231,234635.309,380694.773,439259.356,606024.055,411410.814,783884.627877495,1205362.05069421,1003422.66620597,1036030.56817,831534.452837972,716893.396826026,784866.813453906,1199853.21844825
 World,Croatia,Import,Plastic or Rubber,Import (US$ Thousand),,,,,24450.2,56345.638,223514.929,331074.651,243276.295,229668.487,236409.902,190939.47,183646.257,149573.651,150343.655,183889.967,289728.028,365659.503,390143.565,485658.097,533900.003,363862.428,484725.050019843,452098.828650437,264696.227670798,286182.397973438,337980.965493183,304969.332545297,329164.337934882,406703.868254894
 World,Cuba,Import,Plastic or Rubber,Import (US$ Thousand),,27.799,54.563,10.792,64.017,154.09,228.256,634.674,213.689,418.751,529.407,3237.159,321.303,956.646,626.06,2307.898,760.618,772.295,684.176,933.731,546.517,974.006,911.44634598536,1220.81745404354,19436.9923796576,4130.1993904,1058.03393844642,3188.085753,1418.45126896307,277.451200010435
 World,Curaçao,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,7506.62036034,6153.19312873392,6036.1897904304,4870.30591091474,9854.7009293295,3905.36532949785,3610.40066693373
 World,Cyprus,Import,Plastic or Rubber,Import (US$ Thousand),155.991,1097.538,863.001,1296.944,3547.371,7780.877,6690.203,10078.219,15430.117,14368.541,12322.935,10626.994,14647.01,11049.757,11936.71,14801.305,18965.325,30939.443,37307.803,50831.893,44742.171,53406.091,47280.1070414126,47635.6322697989,40805.47167384,44909.7530764336,43243.201524397,36093.4158040618,40222.2585966996,47003.5415615104
 World,Czech Republic,Import,Plastic or Rubber,Import (US$ Thousand),,,,,,309487.629,687041.118,963721.502,1159040.229,1223555.625,1375720.603,1470806.747,1620439.084,1729126.698,2024149.679,2718328.207,3378624.776,3813096.156,4561478.923,5826226.135,6687091.277,5505290.982,6773828.93853065,8460620.40661918,8207374.72848819,8646478.84095792,9148869.26649561,8012556.19514182,7947406.69219459,9398253.07974987
 World,Czechoslovakia,Import,Plastic or Rubber,Import (US$ Thousand),114581.33,136127.927,176980.385,230920.815,388933.604,,,,,,,,,,,,,,,,,,,,,,,,,
 World,Denmark,Import,Plastic or Rubber,Import (US$ Thousand),240408.85,277520.455,364042.632,412282.267,803278.66,757675.371,1175614.49,1494678.698,1503835.519,1443362.851,1519544.839,1475502.387,1377854.763,1521444.918,1739080.272,2080972.738,2546890.177,2783606.392,3080724.074,3387680.079,3419465.7,2691011.828,2650144.32807442,3209894.95052995,2939890.65621725,2932525.37881025,3113501.01544223,2724308.14313128,2747124.6518381,2944503.30485669
 World,Djibouti,Import,Plastic or Rubber,Import (US$ Thousand),8.613,,25.863,97.379,17.76,18.648,126.489,2783.928,137.154,141.97,495.021,654.33,108.86,3741.767,1361.741,804.721,473.892,1534.84,1633.749,392.218,4236.727,775.32,445.258872031,387.1981792656,1120.9503201572,2290.86296084636,3890.38582408,1007.63667798,2742.30939876773,2004.61403994623
 World,Dominica,Import,Plastic or Rubber,Import (US$ Thousand),8.027,22.161,135.366,144.573,915.108,820.489,1327.36,1366.688,1078.159,1969.116,1810.5,2351.765,1205.368,1471.645,487.973,2296.693,941.651,1334.897,1382.861,3893.886,4087.312,2789.199,2411.37577464668,4577.41135224132,3720.3039,1227.75944348873,1685.0225561382,2099.42065564346,1948.10055791638,1767.69387629168
 World,Dominican Republic,Import,Plastic or Rubber,Import (US$ Thousand),1,393.114,663.434,8543.242,11706.283,15087.184,27989.295,57169.572,52063.142,40033.174,51407.199,48915.792,53276.574,74163.045,98263.146,151023.837,159200.062,206352.259,273070.314,345021.249,351876.273,339496.068,369022.982630887,427945.944671331,398987.752786115,402000.088431583,440609.057586005,389348.466115947,368417.760983388,390854.077665505
